A,B,C,D
11,38,89,48
52,66,43,73
20,92,66,22
58,4,32,62
70,54,0,99
24,18,73,4
8,63,95,55
49,18,26,93
15,85,96,51
32,87,36,38
45,31,94,93
27,6,96,99
75,21,64,82
91,0,58,63
60,0,45,64
65,56,99,40
73,42,11,74
70,56,55,67
96,76,84,47
56,70,53,58
23,93,90,42
47,45,14,74
47,59,90,86
71,67,22,49
3,51,91,82
99,78,8,81
55,16,2,38
14,0,82,77
21,4,11,88
46,8,88,6
29,20,7,47
18,42,25,83
74,32,96,21
21,23,71,95
98,48,18,87
14,44,99,85
69,63,37,27
26,18,36,10
31,61,73,49
21,43,36,58
43,71,70,20
12,21,74,1
89,95,68,72
45,91,36,17
43,68,63,67
15,76,58,0
96,73,81,59
57,22,50,74
6,12,13,88
10,25,31,20
53,78,94,81
36,81,33,11
78,6,61,75
93,79,94,9
95,16,51,48
6,82,90,99
98,63,0,16
2,52,93,54
18,76,0,96
22,98,81,5
8,6,94,50
68,21,83,4
36,63,67,69
76,77,92,35
45,27,19,8
82,72,4,84
84,0,71,90
35,72,42,5
53,57,67,50
73,15,72,55
0,88,14,49
24,85,99,27
56,45,12,86
26,53,47,76
71,73,19,12
35,89,65,37
44,36,91,87
18,47,75,60
56,80,76,29
19,33,99,24
96,56,79,79
74,33,0,7
20,16,59,95
36,72,54,19
10,74,90,14
55,63,84,83
83,42,1,55
3,82,35,57
19,24,28,45
53,70,49,71
18,15,97,71
9,76,10,52
64,2,57,80
1,39,59,31
77,23,63,69
52,21,55,92
97,88,10,36
37,42,79,21
38,33,96,7
68,61,49,98
